Nome,Sobrenome,Altura,Peso,Data Nascimento
Richard,ROSE,182,73,1982-09-08
Matt,JARVIS,170,72,1986-05-22
Andrew,CROFTS,175,73,1984-05-29
Steve,MILDENHALL,193,89,1978-05-13
Rob,JONES,204,77,1979-11-03
Terrell,FORBES,182,78,1981-08-17
Ronnie,BULL,170,61,1980-12-27
Ciaran,TONER,185,78,1981-06-30
Andy,PARKINSON,173,,1979-05-27
Dimitris,KONSTANTOPOULOS,193,90,1978-11-29
Darren,CRADDOCK,185,77,1985-02-23
Michael,NELSON,188,77,1980-03-23
John,BRACKSTONE,180,67,1985-02-09
Lee,BULLOCK,185,79,1981-05-22
Antony,SWEENEY,185,81,1983-09-05
Steven,ISTEAD,172,71,1986-04-23
Matty,ROBSON,175,70,1985-01-23
Ritchie,HUMPHREYS,178,86,1977-11-30
Jon,DALY,191,76,1983-01-08
David,FOLEY,163,55,1987-05-12
Paul,RACHUBKA,185,83,1981-05-21
Nathan,CLARKE,185,81,1983-11-30
David,MIRFIN,188,94,1985-04-18
John,MCCOMBE,188,83,1985-05-07
Anthony,LLOYD,170,69,1984-03-14
Lee,FOWLER,170,63,1983-06-10
Mark,HUDSON,177,71,1980-10-24
Adnan,AHMED,178,,1984-06-07
Gary,TAYLOR-FLETCHER,180,78,1981-06-04
Pawel,ABBOTT,185,73,1982-05-05
Boaz,MYHILL,191,92,1982-11-09
Matt,DUKE,195,84,1977-07-16
Scott,WISEMAN,183,72,1985-12-13
Damien,DELANEY,190,87,1981-07-29
Kevin,ELLISON,183,76,1979-02-23
Craig,FAGAN,180,79,1982-12-11
Lewis,PRICE,190,84,1984-07-19
Matt,RICHARDS,173,70,1984-12-26
Ian,WESTLAKE,178,72,1983-11-10
Dean,BOWDITCH,182,73,1986-06-15
Darryl,KNIGHTS,170,64,1988-05-01
John,DANBY,187,91,1983-09-20
Billy,JONES,185,72,1983-06-26
Adam,CHAMBERS,178,71,1980-11-20
Simon,RUSSELL,170,66,1985-03-19
Chris,BEARDSLEY,183,81,1984-02-28
Matthew,KILGALLON,188,78,1984-01-08
Frazer,RICHARDSON,180,83,1982-10-29
Dan,HARDING,182,75,1983-12-23
Stephen,CRAINEY,175,60,1981-06-22
Simon,WALTON,185,84,1987-09-13
Danny,PUGH,183,76,1982-10-19
Paul,KEEGAN,177,73,1984-07-05
Matthew,SPRING,183,72,1979-11-17
Robbie,BLAKE,,,1976-03-04
Lars,HIRSCHFELD,190,86,1978-10-17
Richard,STEARMAN,188,67,1987-08-19
Paddy,MCCARTHY,185,83,1983-05-31
Patrik,GERRBRAND,187,81,1981-04-27
Nils-Eric,JOHANSSON,186,80,1980-01-13
Alan,SHEEHAN,180,70,1986-09-14
Joey,GUDJÓNSSON,173,72,1980-05-25
Chris,O'GRADY,191,80,1986-01-25
Glenn,MORRIS,183,70,1983-12-20
Joe,DOLAN,191,82,1980-05-27
Justin,MILLER,185,76,1980-12-16
Gabriel,ZAKUANI,185,68,1986-05-31
Brian,SAAH,185,70,1986-12-16
Derek,DUNCAN,175,69,1987-04-23
Jabo,IBEHRE,194,92,1983-01-28
Jamie,MCCOMBE,196,78,1983-01-01
Jack,HOBBS,190,84,1988-08-18
Colin,CRYAN,,,1981-03-23
Matt,BLOOMER,185,82,1978-11-03
Lee,BEEVERS,185,79,1983-12-04
Gareth,MCAULEY,195,90,1979-12-05
Dean,KEATES,167,64,1978-06-30
Scott,KERR,175,66,1981-12-11
Ollie,RYAN,175,66,1985-09-26
Nat,BROWN,187,78,1981-06-15
Derek,ASAMOAH,167,69,1981-05-01
Pepe,REINA,188,92,1982-08-31
Scott,CARSON,190,85,1985-09-03
Zak,WHITBREAD,188,73,1984-03-04
Carl,MEDJANI,185,84,1985-05-15
David,RAVEN,183,73,1985-03-10
González,JOSEMI,183,80,1979-11-15
Stephen,WARNOCK,178,75,1981-12-12
Mark,GONZÁLEZ,178,70,1984-07-10
John Arne,RIISE,188,82,1980-09-24
Xabi,ALONSO,183,77,1981-11-25
Mohamed,SISSOKO,192,63,1985-01-22
John,WELSH,170,73,1984-01-10
Anthony,LE TALLEC,184,73,1984-10-03
Darren,POTTER,184,74,1984-12-21
Milan,BAROŠ,184,76,1981-10-28
Florent,SINAMA-PONGOLLE,176,69,1984-10-20
Peter,CROUCH,201,75,1981-01-30
Dean,BRILL,187,78,1985-12-02
Ian,HILLIER,185,,1979-12-26
Leon,BARNETT,185,72,1985-11-30
Curtis,DAVIES,188,76,1985-03-15
Alan,NEILSON,,,1972-09-26
Keith,KEANE,175,70,1986-11-20
Kevin,FOLEY,175,69,1984-11-01
Danny,STEVENS,165,61,1986-11-26
Carlos,EDWARDS,180,73,1978-10-24
Rowan,VINE,185,75,1982-09-21
Calvin,ANDREW,188,81,1986-12-19
Kevin,MCINTYRE,183,,1977-12-23
Danny,WHITAKER,177,70,1980-11-14
Jon,PARKIN,193,85,1981-12-30
Nedum,ONUOHA,187,78,1986-11-12
Stephen,JORDAN,185,83,1982-03-06
Joey,BARTON,180,70,1982-09-02
Willo,FLOOD,171,66,1985-04-10
Lee,CROFT,175,81,1985-06-21
Bradley,WRIGHT-PHILLIPS,172,69,1985-03-12
Jason,WHITE,187,78,1986-01-28
Alex,BAPTISTE,180,73,1986-01-31
Jake,BUXTON,180,83,1985-03-04
Jason,TALBOT,173,64,1985-09-30
Gareth,JELLEYMAN,178,,1980-11-14
Fraser,MCLACHLAN,,,1982-11-09
Andy,BARROWMAN,183,72,1984-11-27
Adam,BIRCHALL,170,73,1984-12-02
Luke,STEELE,187,76,1984-09-24
Tim,HOWARD,191,88,1979-03-06
Gerard,PIQUÉ,193,85,1987-02-02
John,O'SHEA,191,75,1981-04-30
Paul,MCSHANE,183,72,1986-01-06
Phil,BARDSLEY,180,78,1985-06-28
Wes,BROWN,185,77,1979-10-13
Darren,FLETCHER,183,83,1984-02-01
Ji-Sung,PARK,178,70,1981-02-25
Chris,EAGLES,183,67,1985-11-19
José,KLÉBERSON,175,70,1979-06-19
Kieran,RICHARDSON,177,69,1984-10-21
David,FOX,175,77,1983-12-13
Liam,MILLER,173,71,1981-02-13
Giuseppe,ROSSI,173,73,1987-02-01
Cristiano,RONALDO,185,80,1985-02-05
David,BELLION,181,72,1982-11-27
Sylvan,EBANKS-BLAKE,173,91,1986-03-29
Wayne,ROONEY,176,79,1985-10-24
Alan,SMITH,180,81,1980-10-28
Mark,SCHWARZER,194,95,1972-10-06
Brad,JONES,191,76,1982-03-19
Matthew,BATES,178,77,1986-12-10
David,WHEATER,196,82,1987-02-14
Tony,MCMAHON,180,72,1986-03-24
Emanuel,POGATETZ,191,85,1983-01-16
James,MORRISON,180,75,1986-05-25
Stewart,DOWNING,180,64,1984-07-22
Aiyegbeni,YAKUBU,184,83,1982-11-22
Danny,GRAHAM,185,89,1985-08-12
Massimo,MACCARONE,180,73,1979-09-06
Paul,ROBINSON,188,80,1982-01-07
Mark,PHILLIPS,187,82,1982-01-27
Alan,DUNNE,180,73,1982-08-23
Tony,CRAIG,185,79,1985-04-20
Marvin,ELLIOTT,185,77,1984-09-15
Curtis,WESTON,180,74,1987-01-24
Barry,COGAN,175,57,1984-11-04
Ben,MAY,185,81,1984-03-10
Joe,HEALY,185,77,1986-12-26
Kevin,BRANIFF,180,,1983-03-04
Mark,QUIGLEY,177,73,1985-10-27
Shay,GIVEN,185,84,1976-04-20
Tim,KRUL,193,84,1988-04-03
Peter,RAMAGE,185,76,1983-11-22
Steven,TAYLOR,186,90,1986-01-23
Martin,BRITTAIN,172,66,1984-12-29
Charles,N&#39;ZOGBIA,171,70,1986-05-28
Emre,BELÖZOĞLU,170,68,1980-09-07
Scott,PARKER,175,69,1980-10-13
James,MILNER,176,70,1986-01-04
Shola,AMEOBI,191,95,1981-10-12
Michael,CHOPRA,175,65,1983-12-23
Luke,CHAMBERS,185,87,1985-09-28
David,GALBRAITH,175,78,1983-12-20
David,HUNT,180,74,1982-09-10
Marc,RICHARDS,180,81,1982-07-08
Robert,GREEN,191,93,1980-01-18
Paul,GALLACHER,182,67,1979-08-16
Jason,SHACKELL,193,83,1983-09-27
Jürgen,COLIN,180,73,1981-01-20
Paul,MCVEIGH,175,89,1977-12-26
Ryan,JARVIS,183,78,1986-07-11
Ian,HENDERSON,179,67,1985-01-24
Wes,MORGAN,185,93,1984-01-21
James,PERCH,180,81,1985-09-28
Eugen,BOPP,183,74,1983-09-05
Kris,COMMONS,168,60,1983-08-30
Saul,DEENEY,185,73,1983-03-23
Kelvin,WILSON,188,77,1985-09-03
Emmet,FRIARS,179,70,1985-09-14
Shane,MCFAUL,186,75,1986-05-23
Mike,EDWARDS,183,80,1980-04-25
David,PIPE,175,76,1983-11-05
Will,HAINING,182,69,1982-10-02
Danny,HALL,188,78,1983-11-14
Stefan,STAM,188,83,1979-09-14
Richie,WELLENS,175,66,1980-03-26
Mark,HUGHES,177,78,1983-09-16
Kelvin,LOMAX,180,70,1986-11-12
Chris,KILLEN,,,1981-10-08
Matthew,WOLFENDEN,175,70,1987-07-23
Jermaine,JOHNSON,185,80,1980-06-25
Adam,GRIFFIN,177,70,1984-08-26
Kenny,COOPER,190,89,1984-10-21
Chris,PORTER,185,83,1983-12-12
Jon,ASHTON,188,89,1982-10-04
Lee,HOOLICKIN,,,1982-10-30
Lee,MANSELL,175,68,1982-09-23
Juan Carlos,RAPONI,,,1980-05-07
Chris,HACKETT,183,72,1983-03-01
Craig,DAVIES,188,85,1986-01-09
Sean,ST LEDGER,182,77,1984-12-28
Adam,NEWTON,178,71,1980-12-04
André,BOUCAUD,173,71,1984-10-10
Ryan,SEMPLE,180,,1985-07-14
Calum,WILLOCK,185,80,1981-10-29
Danny,CROW,176,70,1986-01-26
Luke,MCCORMICK,182,88,1983-08-15
Nuno,MENDES,,,1976-04-07
Paul,CONNOLLY,182,74,1983-09-29
David,NORRIS,170,73,1981-02-22
Keith,LASLEY,176,72,1979-09-21
Bojan,DJORDJIC,182,78,1982-02-06
Andy,LONERGAN,191,87,1983-10-19
Tyrone,MEARS,180,74,1983-02-18
Matt,HILL,172,74,1981-03-26
Omar,DALEY,170,65,1981-04-25
Dickson,ETUHU,188,83,1982-06-08
Alan,MCCORMACK,173,70,1984-01-10
Joe,ANYINSAH,173,69,1984-10-08
Chris,SEDGWICK,183,80,1980-04-28
Dave,HIBBERT,188,79,1986-01-28
David,NUGENT,180,81,1985-05-02
Andrea,GUATELLI,197,96,1984-05-05
Grégory,VIGNAL,180,78,1981-07-19
Matt,TAYLOR,177,73,1981-11-27
Gary,O'NEIL,173,61,1983-05-18
Aleksandar,RODIC,187,81,1979-12-26
Tamás,HAJNAL,168,67,1981-03-15
Lomana,LUALUA,172,77,1980-12-28
George,PILKINGTON,180,69,1981-11-07
Billy,PAYNTER,183,79,1984-07-13
Chris,BIRCHALL,175,77,1984-05-05
Ian,EVATT,191,88,1981-11-19
Lewis,HAMILTON,177,68,1984-11-21
Marcus,BEAN,180,75,1984-11-02
Lee,COOK,175,71,1982-08-03
Aaron,BROWN,,,1980-03-14
Stefan,MOORE,177,69,1983-09-28
Graham,STACK,188,79,1981-09-26
Nicky,SHOREY,175,67,1981-02-19
Steve,SIDWELL,183,80,1982-12-14
James,HARPER,177,72,1980-11-09
Stephen,HUNT,176,69,1981-08-01
Bobby,CONVEY,172,68,1983-05-27
Dean,MORGAN,183,77,1983-10-03
Leroy,LITA,176,81,1984-12-28
Matthew,GILKS,190,84,1982-06-04
Gareth,GRIFFITHS,,,1970-04-10
Matt,DOUGHTY,173,70,1981-11-02
Paddy,MCCOURT,178,70,1983-12-16
Leo,BERTOS,177,81,1981-12-20
Grant,HOLT,182,78,1981-04-12
Gary,MONTGOMERY,188,,1982-10-08
Shaun,BARKER,188,80,1982-09-19
Gregor,ROBERTSON,182,78,1984-01-19
Jamal,CAMPBELL-RYCE,168,78,1983-04-06
Michael,KEANE,,,1982-12-29
Lee,WILLIAMSON,178,65,1982-06-07
Andy,MONKHOUSE,182,86,1980-10-23
Will,HOSKINS,178,78,1986-05-06
Jamie,YOUNG,180,83,1985-08-25
Rob,GIER,178,73,1981-01-06
Marcus,KELLY,170,63,1986-03-16
David,BELL,183,77,1984-04-21
Neil,MCCAFFERTY,,,1984-07-19
Simeon,JACKSON,173,73,1987-03-28
Greg,PEARSON,183,76,1985-04-03
Andy,BUTLER,183,83,1983-11-04
Cliff,BYRNE,182,80,1982-04-27
Jim,GOODWIN,185,82,1981-11-20
Lee,RIDLEY,175,75,1981-12-05
Matt,SPARROW,180,73,1981-10-03
Marcus,WILLIAMS,173,67,1986-04-08
Andy,KEOGH,183,73,1986-05-16
Michael,RANKINE,185,84,1985-06-01
Phil,BARNES,185,70,1979-03-02
Phil,JAGIELKA,180,87,1982-08-17
Simon,FRANCIS,183,90,1985-02-16
Nick,MONTGOMERY,175,73,1981-10-28
Michael,TONGE,180,78,1983-04-07
Kevan,HURST,178,73,1985-08-27
Jonathan,FORTE,182,77,1986-07-25
Gary,MULLIGAN,185,77,1985-04-23
Billy,SHARP,175,70,1986-02-05
Danny,WEBBER,175,64,1981-12-28
Richard,WOOD,191,82,1985-07-05
Steve,ADAMS,,,1980-09-25
Chris,BRUNT,187,85,1984-12-14
Glenn,WHELAN,180,79,1984-01-13
John-Paul,MCGOVERN,173,74,1980-10-03
Burton,O&#39;BRIEN,178,66,1981-06-10
Steve,MACLEAN,177,70,1982-08-23
Alan,BLAYNEY,,,1981-10-09
Paul,SMITH,193,89,1979-12-17
Matt,MILLS,191,82,1986-07-14
Martin,CRANIE,183,78,1986-09-26
Chris,BAIRD,181,74,1982-02-25
Matt,OAKLEY,178,70,1977-08-17
David,MCGOLDRICK,185,74,1987-11-29
Henri,CAMARA,173,68,1977-05-10
Leon,BEST,186,80,1986-09-19
Dexter,BLACKSTOCK,186,76,1986-05-20
Kenwyne,JONES,187,85,1984-10-05
Luke,GUTTRIDGE,173,67,1982-03-27
James,SPENCER,191,,1985-04-11
Danny,JACKMAN,162,60,1983-01-03
Ashley,WILLIAMS,183,71,1984-08-23
Jermaine,EASTER,175,85,1982-01-15
Adam,LE FONDRE,177,73,1986-12-02
Lewis,BUXTON,185,83,1983-12-10
Clint,HILL,182,72,1978-10-19
Karl,HENRY,183,83,1982-11-26
Peter,SWEENEY,182,76,1984-09-25
Lewis,NEAL,180,68,1981-07-14
Mamady,SIDIBÉ,193,77,1979-12-18
Ben,ALNWICK,183,80,1987-01-01
Kelvin,DAVIS,185,82,1976-09-29
Neill,COLLINS,191,79,1983-09-02
Julio,ARCA,185,69,1981-01-31
Nyron,NOSWORTHY,181,88,1980-10-11
Richie,RYAN,178,74,1985-01-06
Martin,WOODS,180,74,1986-01-01
Tommy,MILLER,185,75,1979-01-08
Dean,WHITEHEAD,183,77,1982-01-12
Grant,LEADBITTER,177,79,1986-01-07
Liam,LAWRENCE,180,72,1981-12-14
Andy,WELSH,173,60,1983-11-24
Daryl,MURPHY,190,88,1983-03-15
Neil,TEGGART,,,1984-09-16
Chris,BROWN,185,84,1984-12-11
Jon,STEAD,190,77,1983-04-07
Stephen,ELLIOTT,170,72,1984-01-06
Brian,MURPHY,187,86,1983-05-07
Alan,TATE,185,84,1982-09-02
Stuart,JONES,184,75,1984-03-14
Leon,BRITTON,168,64,1982-09-16
Lee,TRUNDLE,185,81,1976-10-10
Adebayo,AKINFENWA,180,87,1982-05-10
Paul,CONNOR,187,73,1979-01-12
Marc,GOODFELLOW,172,63,1981-09-20
Jerel,IFIL,185,,1982-06-27
Jack,SMITH,180,78,1983-10-14
Sean,O&#39;HANLON,185,78,1983-01-02
Andrew,NICHOLAS,188,80,1983-10-10
Nicky,NICOLAU,176,74,1983-10-12
Michael,POOK,180,74,1985-10-22
Jamie,CURETON,173,71,1975-08-28
Jamie,SLABBER,188,80,1984-12-31
Rory,FALLON,187,77,1982-03-20
Ricky,SHAKES,177,76,1985-01-25
Brian,McGLINCHEY,,,1977-10-26
Tony,BEDEAU,178,80,1979-03-24
Paul,ROBINSON,193,90,1979-10-15
Stephen,KELLY,184,82,1983-09-06
Michael,DAWSON,189,79,1983-11-18
Phil,IFIL,,,1986-11-18
Dean,MARNEY,183,72,1984-01-31
Reto,ZIEGLER,183,79,1986-01-16
Emil,HALLFREDSSON,185,83,1984-06-29
Johnnie,JACKSON,185,81,1982-08-15
Tom,HUDDLESTONE,188,71,1986-12-28
Michael,BROWN,176,77,1977-01-25
Michael,CARRICK,188,74,1981-07-28
Wayne,ROUTLEDGE,170,64,1985-01-07
Aaron,LENNON,165,63,1987-04-16
Robbie,KEANE,175,73,1980-07-08
Mark,YEATES,174,69,1985-01-11
Jermain,DEFOE,170,65,1982-10-07
Lee,BARNARD,180,64,1984-07-18
